word,count
SONA,65
THE,55
RT,53
TO,36
SA,34
OF,30
ANG,20
NA,19
AND,14
NG,14
5TH,13
MGA,12
IN,11
FOR,11
DUTERTE,10
DUTERTES,10
WE,9
PRESIDENT,8
WITH,8
MY,8
2020,7
NI,7
COVID19,7
THAT,7
THIS,7
MAY,6
A,6
AMP;,6
I,6
TAG,5
PA,5
UP,5
HIS,5
IS,5
ON,5
YOU,4
STUDENT,4
SI,4
STATE,4
YUNG,4
DI,4
WAY,4
SONA2020,4
ROA,4
RODRIGO,4
KA,4
YA,4
THEY,4
KO,4
PRES,4
FIRST,4
RIN,4
OWN,3
HER,3
COUNCIL,3
ARAW,3
IF,3
WOULD,3
KHARAASONA,3
SONAGKAISA,3
LANG,3
DURING,3
CONGRESS,3
NAMAN,3
LIKE,3
ITS,3
GLOBE,3
BEFORE,3
AT,3
FROM,3
THA,3
EVERYONE,3
ME,3
PRESS,3
RAPPLERDOTCOM:,3
SILA,3
DAPAT,3
ONE,3
HIM,3
GMANEWS:,2
TOTALLY,2
OFWS,2
WAKASONA2020,2
TAYONG,2
PARA,2
NADINE,2
THALAAJITHFC,2
NANGA,2
NGAYONG,2
AJITHKUMAR,2
THALAAJITH,2
VALIMAI,2
FANS,2
KU,2
PAGE,2
FC,2
WAG,2
ABOUT,2
AKO,2
BA,2
PROVIDED,2
ALSO,2
COVERS,2
SABI,2
LAW,2
WALANG,2
OUR,2
PERO,2
TEST,2
ZUBIRI,2
RIGHTS,2
HUMAN,2
AFTER,2
|,2
CLEAR,2
WHAT,2
SAID,2
LEADER,2
SENATE,2
ANCALERTS:,2
HAVE,2
TAPOS,2
YOUR,2
TWEET,2
BE,2
PLEASE,2
TAYO,2
NAKITA,2
REQUEST,2
AFTERNOON,2
EARLIER,2
HELD,2
RELATED,2
DISCUSSIONS,2
GIVE,2
UPDATE,2
PROTESTA,2
SAAN,2
KUNG,2
HINDI,2
MABUTI,2
MESSAGE,2
WAS,2
GOVERNMENTS,2
HEALTH,2
HOGA,2
HA,2
KACHRA,2
BHAI,2
MARACEPEDA,2
WERE,2
5,2
BILLS,2
21,2
REAPERSZN,2
WHY,2
【ジェジュン】,2
TOWERNAMBA:,2
AGAIN,2
PRESIDENTS,2
DRILON,2
FRANKLIN,2
ONLY,2
NATION,2
REACH,2
WONT,2
REACT,2
TIME,2
SHARES,2
CNNPHILIPPINES:,2
F…,2
PROTEST,2
DILIMAN,2
GROUPS,2
LOOK:,2
KATRINADOMINGO,2
MUJHE,2
HE,2
KAR,2
STEP,2
COVID,2
HERE,2
EXECUTIVE,2
NEW,2
POSTSONA,2
THROUGH,2
SIYA,2
PALA,2
WAR,2
KANYANG,2
PANGULO,2
MATAPOS,2
TE,2
NO,2
QUE,2
PERSONA,2
LA,2
PANDEMIC,2
AGAINST,2
RESPONSE,2
WHICH,2
ACT,2
AS,2
BAYANIHAN,2
PASSAGE,2
SAME,2
GET,2
CAN,2
EVEN,2
DONT,2
BUT,2
🤷‍♀️,1
AUDACITY,1
NEVERENDING,1
STANDS,1
MICHELLEMMANESE:,1
PASSING,1
INTO,1
INVESTED,1
EFFORT,1
WOMEN,1
MEN,1
THANKS,1
REITERATE,1
PRO…,1
MALALA,1
DUMALO,1
AYON,1
UMAGA,1
KANINANG,1
RALLY,1
ANTISONA,1
SUMALI,1
WORKER,1
PATI,1
HTTPS://TCO/NIEAEXKBCU,1
TELLS,1
CARPIO,1
WITHOUT,1
CHINA,1
STANDING,1
NEIGHBORS,1
PHILIPPINE,1
35,1
PAHINA,1
MAGBASA,1
INUTUSAN,1
4,1
GRADE,1
SIYANG,1
MUKHA,1
ULIT,1
NIYO,1
PANOORIN,1
EH,1
KAHAPON,1
LAHAT,1
GALIT,1
ALTABSCBN:,1
VIBE,1
MET,1
🥺,1
SERAHPHYMN,1
HTTPS://TCO/FJLTIQIW82,1
CONFERENCE,1
NEB,1
TULOY,1
NITO,1
KABILA,1
PALASYO,1
BRIEFINGS,1
IDINARAOS,1
MALACAÑANG,1
BUILDING,1
DISINFECTION,1
SIYAM,1
LOOB,1
NILOCKDOWN,1
REPATRIATED,1
83000,1
ALMOST,1
ABROAD,1
110000,1
SECTOR,1
FORMAL,1
INDIVIDUALS,1
AFFECTED,1
650000,1
OVER,1
ASSISTANCE,1
FINANCIAL,1
EXTENDED,1
PROGRAM,1
MEASURES,1
ADJUSTMENT,1
CAME,1
BIGGER…,1
BEEN,1
ALWAYS,1
FIGHT,1
BATTLES,1
THANK,1
STYLE,1
THOUGHTS,1
JADINETRASH:,1
HTTPS://TCO/TM83UYRE5E,1
😅,1
NEVER,1
PROBABLY,1
SOOOO,1
HTTPS://TCO/CSIWT3LZ3O,1
BY,1
PRIORITY,1
LIST:,1
HTTPS://TCO/LAIUKKFKXJ,1
PRES:,1
INSURED,1
NAKALIMANG,1
B,1
IT,1
ROLL,1
DRAWZSONA,1
おちつきましｳﾞｵｵｵｵｪｱｱｱ,1
HTTPS://TCO/GNUEG7G1LG,1
SONACSO,1
SONANANOTECH,1
SONACA,1
1969ENIGMA:,1
